max_depth,max_features,min_samples_leaf,min_samples_split,mean_mae,std_mae,mean_rmse,mean_r2
8.0,sqrt,1,5,0.9188256769190284,0.41134396826093406,1.2345413642799403,0.12459177476206107
,sqrt,2,5,0.9214033072962202,0.41670865270251545,1.2384251940249884,0.11442559805258931
8.0,sqrt,2,2,0.9222371957096877,0.4146269690248014,1.237558328580292,0.11584452203942483
,sqrt,2,2,0.9225946612529772,0.42236626384881903,1.2353163265016702,0.11303954142093942
8.0,sqrt,2,5,0.9232141134022525,0.41248468116253884,1.239516954192602,0.11544697999790088
,sqrt,4,2,0.92408047480801,0.39825670998188323,1.2459219796791163,0.1189921511266322
,sqrt,4,5,0.92408047480801,0.3982567099818833,1.2459219796791163,0.11899215112663217
6.0,sqrt,2,2,0.9251566104024,0.3946525438075968,1.2463241602407493,0.12141911885089757
6.0,sqrt,1,2,0.9253854003421,0.3997941423000296,1.2447221367239338,0.120280511352328
8.0,sqrt,4,5,0.9269674549444198,0.3954324126132315,1.2514421786830165,0.1141282172827808
8.0,sqrt,4,2,0.9269674549444198,0.3954324126132315,1.2514421786830168,0.11412821728278055
6.0,sqrt,1,5,0.9274196366864793,0.39860327303838855,1.2499449591506513,0.11576746495693077
8.0,0.7,2,2,0.9277535431071359,0.45168297822645886,1.2527153012546797,0.06829770610072497
8.0,sqrt,1,2,0.9279485121972162,0.417395176916387,1.2500203825955483,0.09848861073209694
,sqrt,1,2,0.9284805555555545,0.4149926706709204,1.2473333707067544,0.10290335302337691
,sqrt,1,5,0.9287688233118,0.42270728794796814,1.2475821988602553,0.10012223787887722
8.0,0.7,2,5,0.9288602232579499,0.45375501029615506,1.2516842565785526,0.069560590725609
6.0,sqrt,2,5,0.9294872423038012,0.398920648603025,1.2487026675915738,0.11528422519572157
6.0,0.7,2,2,0.9297056901800224,0.45337248718102935,1.2593975088558784,0.05940493357254162
6.0,0.7,2,5,0.9300480534703408,0.4531115747660221,1.2604319559514048,0.05998907660630509
6.0,0.7,1,2,0.930605512832209,0.4450201578590792,1.2642960196349355,0.06372948251796509
8.0,0.7,1,2,0.9321210316942685,0.43932624370465534,1.270578861622584,0.058364895923054216
8.0,0.7,1,5,0.9326242359066402,0.4452041130478525,1.2655718788713664,0.060005570276947
4.0,0.7,2,5,0.9327349557463785,0.4343894083537027,1.262476649621787,0.07303303775725581
6.0,0.7,1,5,0.9329047158749754,0.4415106664996096,1.2705103640156663,0.05962438404290771
4.0,0.7,2,2,0.9333980902474157,0.43412610261873963,1.2635804091569607,0.07223273930485008
8.0,0.7,4,2,0.9334508729529085,0.44378913089384975,1.2529133554233591,0.07221138026366272
8.0,0.7,4,5,0.9334508729529086,0.4437891308938499,1.2529133554233591,0.07221138026366264
