county_name,crop,target_season_start_year,recent_yield_mean_t_ha,dry_hot_temperature_c,dry_hot_precipitation_mm,dry_hot_yield_t_ha,expected_temperature_c,expected_precipitation_mm,expected_yield_t_ha,wet_cool_temperature_c,wet_cool_precipitation_mm,wet_cool_yield_t_ha,scenario_spread_t_ha,warning_count,warnings
Bács-Kiskun,wheat,2026,5.394,12.341,436.56,5.428,12.052,502.52,5.524,11.51,565.1,5.501,0.096,0,
Bács-Kiskun,barley,2026,5.746,12.341,436.56,5.631,12.052,502.52,5.742,11.51,565.1,5.677,0.111,0,
Bács-Kiskun,maize,2027,5.136,17.46,309.51,3.628,17.162,374.02,5.3,16.742,434.03,6.13,2.502,0,
Baranya,wheat,2026,6.132,12.368,512.82,5.84,12.074,607.39,5.837,11.586,753.01,5.761,0.079,1,dry_hot_yield_above_wet_cool
Baranya,barley,2026,6.164,12.368,512.82,6.004,12.074,607.39,6.031,11.586,753.01,5.954,0.077,1,dry_hot_yield_above_wet_cool
Baranya,maize,2027,6.668,17.293,406.04,5.862,16.992,455.34,7.344,16.571,503.73,7.792,1.93,0,
Békés,wheat,2026,5.19,12.381,401.36,4.756,12.043,486.25,5.524,11.501,567.81,5.352,0.768,0,
Békés,barley,2026,5.374,12.381,401.36,5.087,12.043,486.25,5.684,11.501,567.81,5.468,0.597,0,
Békés,maize,2027,4.6,17.517,259.87,3.327,17.241,353.13,4.749,16.81,433.02,5.209,1.882,0,
Borsod-Abaúj-Zemplén,wheat,2026,5.61,10.993,497.33,6.002,10.518,553.29,6.055,10.001,648.86,5.958,0.097,1,dry_hot_yield_above_wet_cool
Borsod-Abaúj-Zemplén,barley,2026,5.556,10.993,497.33,6.051,10.518,553.29,6.078,10.001,648.86,5.969,0.109,1,dry_hot_yield_above_wet_cool
Borsod-Abaúj-Zemplén,maize,2027,6.418,15.941,364.31,6.15,15.588,446.25,5.995,15.264,495.31,6.65,0.655,0,
Csongrád-Csanád,wheat,2026,4.81,12.588,414.6,4.671,12.271,479.56,5.18,11.73,567.58,5.078,0.509,0,
Csongrád-Csanád,barley,2026,5.588,12.588,414.6,5.326,12.271,479.56,5.754,11.73,567.58,5.609,0.428,0,
Csongrád-Csanád,maize,2027,3.78,17.769,281.32,3.824,17.472,355.83,4.731,17.061,447.65,5.545,1.721,0,
Fejér,wheat,2026,5.864,12.012,438.03,5.539,11.728,518.76,5.762,11.216,627.71,5.924,0.385,0,
Fejér,barley,2026,6.024,12.012,438.03,5.96,11.728,518.76,6.111,11.216,627.71,6.253,0.293,0,
Fejér,maize,2027,5.462,17.054,353.41,4.953,16.75,403.66,5.2,16.325,446.67,6.755,1.802,0,
Győr-Moson-Sopron,wheat,2026,5.548,11.885,455.43,5.633,11.574,529.97,5.735,11.032,626.58,5.859,0.226,0,
Győr-Moson-Sopron,barley,2026,5.584,11.885,455.43,5.683,11.574,529.97,5.766,11.032,626.58,5.881,0.198,0,
Győr-Moson-Sopron,maize,2027,7.004,16.735,373.33,6.619,16.368,436.19,7.649,15.972,480.81,8.029,1.41,0,
Hajdú-Bihar,wheat,2026,5.564,11.948,453.96,5.733,11.53,503.69,5.732,10.953,592.9,5.953,0.221,0,
Hajdú-Bihar,barley,2026,5.688,11.948,453.96,5.793,11.53,503.69,5.793,10.953,592.9,5.974,0.181,0,
Hajdú-Bihar,maize,2027,5.952,17.04,311.03,4.345,16.678,367.42,6.492,16.287,417.12,6.414,2.147,0,
Heves,wheat,2026,5.136,11.377,476.34,5.46,10.913,544.69,5.65,10.403,647.7,5.558,0.19,0,
Heves,barley,2026,5.382,11.377,476.34,5.667,10.913,544.69,5.855,10.403,647.7,5.767,0.188,0,
Heves,maize,2027,5.202,16.371,345.07,4.719,16.026,422.45,5.386,15.666,478.72,6.092,1.373,0,
Jász-Nagykun-Szolnok,wheat,2026,4.764,12.199,408.78,4.729,11.81,471.8,5.043,11.248,555.6,5.269,0.54,0,
Jász-Nagykun-Szolnok,barley,2026,5.066,12.199,408.78,5.098,11.81,471.8,5.289,11.248,555.6,5.522,0.424,0,
Jász-Nagykun-Szolnok,maize,2027,4.496,17.31,258.7,3.101,17.015,346.22,4.519,16.578,411.84,4.696,1.595,0,
