colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mean_mae,std_mae,mean_rmse,mean_r2
1.0,0.05,3,1,400,5.0,0.8,0.884403605356551,0.39043123429935206,1.1744205723371521,0.20823990145347357
1.0,0.05,3,1,400,1.0,0.8,0.8862210528055827,0.40505250832328493,1.1832318119433753,0.1908222342684766
1.0,0.05,3,5,400,5.0,1.0,0.8862567004822849,0.3911647010223649,1.1693479551318258,0.20660814566931612
1.0,0.05,3,5,400,5.0,0.8,0.8864134356640934,0.3838807347067745,1.176613398025717,0.2050248145769724
1.0,0.03,4,1,400,1.0,0.8,0.887772072490893,0.41282620708987894,1.1867286480568362,0.17621049576139494
1.0,0.05,3,5,400,1.0,0.8,0.8879813082594621,0.39440446580821675,1.1789047555840717,0.200295052342914
1.0,0.05,3,5,400,1.0,1.0,0.8884264480649381,0.38171797842323185,1.1739535433060453,0.2078411028107365
1.0,0.05,4,5,400,1.0,0.8,0.8899268938156597,0.4018858242955825,1.174570516084026,0.20016815903378823
0.8,0.05,3,5,400,1.0,1.0,0.8907456381279126,0.3939953934752549,1.1777797854084007,0.1975241947548619
0.8,0.05,3,5,400,5.0,1.0,0.8908490229280372,0.3954188090950997,1.1796720281973587,0.1918359953857966
1.0,0.03,3,5,400,1.0,0.8,0.891785255545064,0.39884287887626946,1.1858132662331664,0.18729662227234645
1.0,0.03,4,1,400,5.0,0.8,0.8924835927026314,0.4021804124248395,1.192329464342096,0.1760599693042769
0.8,0.03,3,5,400,1.0,1.0,0.8927141953978623,0.40768301774475696,1.1812040717587917,0.1833656720190027
1.0,0.03,4,5,400,1.0,0.8,0.8927332036327897,0.4040086127260863,1.1856410673658226,0.18477110155646903
1.0,0.03,3,1,400,5.0,0.8,0.892964299478029,0.39704775778654056,1.19087364587652,0.181196923967178
1.0,0.03,3,5,400,1.0,1.0,0.89316492147613,0.40009094010480706,1.1814750513228862,0.18331878059672213
0.8,0.05,4,5,400,1.0,0.8,0.893535517997909,0.39516489354090195,1.1913211543274698,0.18449699508383208
1.0,0.05,4,5,200,1.0,1.0,0.8942776627289623,0.40952426868847425,1.1858489475570857,0.17564424237658385
1.0,0.05,3,5,200,1.0,1.0,0.8943914505891633,0.405402957959341,1.1850233321373806,0.17578546777497597
0.8,0.05,3,5,400,5.0,0.8,0.894447808265686,0.40190951779915807,1.190346394829367,0.17745094877357037
1.0,0.05,4,5,200,1.0,0.8,0.8945515598121443,0.4122039968876189,1.1818614270610142,0.18154554506610526
1.0,0.05,2,1,400,1.0,0.8,0.8946243434412439,0.3858213373562433,1.1927221759712219,0.18783619245899913
1.0,0.05,4,5,400,1.0,1.0,0.8946481566470966,0.38487017833256754,1.1795321849396911,0.19726109449971768
1.0,0.03,4,5,400,1.0,1.0,0.8948714327184778,0.4050087569148203,1.179188968309028,0.18503640623491624
1.0,0.05,2,5,400,1.0,1.0,0.8951386198872014,0.40137884250177347,1.1931607772480193,0.176240956221934
1.0,0.03,3,1,400,1.0,0.8,0.896041423939822,0.4067777791654669,1.1952282858143508,0.17139890716586856
1.0,0.03,4,5,400,5.0,0.8,0.8960653576307129,0.4033010209405204,1.1891869623764961,0.17752706111686595
0.8,0.05,3,5,400,1.0,0.8,0.8961086130769629,0.40075895660221716,1.1928402338345347,0.17937479487689229
1.0,0.05,4,1,400,1.0,0.8,0.8961987343378236,0.4037196207463778,1.1936089856760057,0.17340452364468723
1.0,0.03,3,5,400,5.0,0.8,0.8962300035200621,0.39449337614981517,1.1916749565364135,0.17941762703875805
0.8,0.05,3,1,400,5.0,0.8,0.8964720488849439,0.39805451730192987,1.194690633966709,0.17694593529957464
1.0,0.05,4,1,400,5.0,0.8,0.8965157383994053,0.4017049333129412,1.1871577019654693,0.183451618296956
1.0,0.05,4,5,400,5.0,0.8,0.8967313582437081,0.39117814266991024,1.1963997951981173,0.1767073741331616
1.0,0.05,4,5,400,5.0,1.0,0.8973793798162226,0.38507981324231433,1.1851150745693406,0.19151939955180602
0.8,0.05,4,5,200,1.0,0.8,0.8977917523760545,0.4154578020544364,1.1934154457275106,0.16854439352707903
1.0,0.03,4,5,200,1.0,1.0,0.8986498822036544,0.40561359587924284,1.1960877666772491,0.1644679067389267
0.8,0.05,4,5,400,1.0,1.0,0.8987228933551856,0.38589246673245564,1.1864939523562397,0.19220276206286604
1.0,0.05,3,5,200,5.0,1.0,0.8988024838765463,0.3940603812324624,1.1935869475611902,0.17447163917723674
0.8,0.05,2,5,400,1.0,1.0,0.8991815746248815,0.4062074056595428,1.1982087265624077,0.17053941076489018
1.0,0.05,3,1,400,5.0,1.0,0.8994667417542976,0.3968404663319383,1.1807370488236613,0.1927254015371871
0.8,0.05,4,5,200,1.0,1.0,0.8997755488387326,0.40907735397716016,1.1925481377854297,0.1698044425468824
1.0,0.05,2,5,400,5.0,1.0,0.8998463206333027,0.4014629694166006,1.2022187589475108,0.16601971639796498
0.8,0.05,3,5,200,1.0,0.8,0.9000616048720845,0.4210065034197527,1.2016217122463468,0.1563745234507092
1.0,0.03,4,1,400,1.0,1.0,0.9001901590824127,0.40673852949957323,1.1899855737121399,0.1746908632514134
1.0,0.03,3,5,400,5.0,1.0,0.9004660986180892,0.39490660906558583,1.1897232090137109,0.17802263186288358
1.0,0.05,3,5,200,1.0,0.8,0.900765795184855,0.40859368827556114,1.1941757283589587,0.16924400355143457
0.8,0.05,2,5,400,5.0,1.0,0.9009539366186712,0.3992149343435589,1.203879221367372,0.16457029887640237
0.8,0.03,4,5,200,1.0,1.0,0.9011491490665235,0.41283996615975466,1.206080611383574,0.1515724042162073
0.8,0.05,2,1,400,1.0,1.0,0.901446798266026,0.41193994833747716,1.20042397220681,0.16464469132493526
0.8,0.05,4,1,400,5.0,0.8,0.901481183474524,0.3932311939787493,1.202670036152862,0.1684069648407054
1.0,0.05,2,5,400,1.0,0.8,0.9016276121139527,0.3809739091986158,1.196337773775119,0.1865242902624962
1.0,0.05,4,1,200,5.0,0.8,0.9019210159151179,0.40632575218515793,1.1974731880290759,0.16693050553495342
1.0,0.05,2,1,400,1.0,1.0,0.9019939544953798,0.40631840316314793,1.2027257654455024,0.16194963829767667
0.8,0.05,2,1,400,5.0,1.0,0.9020696965644235,0.4054242489077011,1.2073391820309511,0.15778903420508508
1.0,0.05,4,1,400,1.0,1.0,0.902076852739903,0.39209107381451275,1.1958184407425938,0.1791605459869627
0.8,0.03,3,5,400,5.0,1.0,0.9021580645703433,0.3948865355134973,1.196553270677952,0.17162422442907369
1.0,0.05,3,5,200,5.0,0.8,0.9021655240602662,0.39648144152551695,1.1976237838356745,0.16976241167527628
1.0,0.05,2,1,400,5.0,1.0,0.9022880633044662,0.4004734875694862,1.208676694860712,0.15781963042662928
0.8,0.05,3,5,200,1.0,1.0,0.902416590744989,0.4121578345518004,1.200395530065192,0.1556067809573206
0.8,0.03,3,5,400,1.0,0.8,0.9024644757781113,0.41185518756399064,1.2016889209767352,0.16217528947945686
0.8,0.03,3,1,400,5.0,0.8,0.902488309542338,0.4026239113569256,1.2018756222059102,0.16468828504147115
1.0,0.05,3,1,200,5.0,0.8,0.9025070090670335,0.3984592055935268,1.1970228096897726,0.17231714920420035
0.8,0.05,3,1,400,1.0,0.8,0.9025296066936694,0.40081863363372594,1.204551338827366,0.1642834289570713
1.0,0.03,4,1,200,1.0,0.8,0.9028738460833567,0.4162351403962436,1.2059024534861014,0.15000527508816275
1.0,0.05,4,1,200,1.0,0.8,0.9031177529744936,0.4184224497773875,1.2040977076670312,0.15282536616793477
1.0,0.03,2,1,400,1.0,1.0,0.9031545774769365,0.41753590253906037,1.205922375400041,0.15034674564162026
1.0,0.05,4,1,200,1.0,1.0,0.9032006916874333,0.41255378688637556,1.1960709852201161,0.16360123815104435
1.0,0.05,3,1,200,1.0,0.8,0.9032348342527423,0.4146087477927493,1.2038835767861913,0.15679487466469735
0.8,0.03,4,5,400,1.0,1.0,0.9034814476130302,0.40639221912656776,1.1925303334368091,0.16910803613215353
0.8,0.03,3,1,400,1.0,0.8,0.9034864077024293,0.41106512082681906,1.2058706195969755,0.15809039113777676
1.0,0.03,2,5,400,1.0,1.0,0.9038376166527732,0.41912234420991235,1.205674603186705,0.14938604072142028
0.8,0.05,3,1,400,1.0,1.0,0.9039883345470094,0.39933435251177907,1.1899722940488142,0.1842704142806883
1.0,0.03,3,1,400,5.0,1.0,0.9041382772462411,0.3983258903622692,1.1932874121613115,0.174910963768386
1.0,0.05,2,1,400,5.0,0.8,0.9042598952745137,0.38121926386046406,1.1997341854094157,0.18107391024820388
0.8,0.05,3,5,200,5.0,1.0,0.904295053670281,0.3982906517152387,1.2031867859848804,0.16127258357025528
1.0,0.03,3,1,200,1.0,0.8,0.9043127931210033,0.41851632764838903,1.2037219465137052,0.15349542151452558
1.0,0.03,4,1,200,1.0,1.0,0.9043521293004355,0.4142450103838207,1.2035330848930692,0.15265456170142394
1.0,0.03,4,5,400,5.0,1.0,0.9044144815311097,0.38870449874772456,1.1901958320148054,0.1811545195879996
0.8,0.05,4,5,400,5.0,0.8,0.9047998859380422,0.39479697953341025,1.2004300449775565,0.16953366233019204
1.0,0.05,2,5,400,5.0,0.8,0.9048220144656667,0.3811111678291801,1.20183022209466,0.17975215111190251
0.8,0.03,2,1,400,1.0,0.8,0.9053637181457721,0.4281649933368428,1.2054263164513503,0.14600115342355388
1.0,0.03,3,5,200,1.0,0.8,0.9055309208443292,0.4177351380396479,1.204318929945775,0.15248421244567292
1.0,0.03,3,5,200,1.0,1.0,0.9057567469069833,0.4038809405899516,1.2075358720482152,0.15293593717629603
1.0,0.05,4,5,200,5.0,0.8,0.9057753659967792,0.39644594455130766,1.2028662696630281,0.1655632847165872
0.8,0.03,2,5,400,1.0,1.0,0.9061234725776472,0.428288942458267,1.2115445495516992,0.13773789728491106
0.8,0.05,3,1,200,1.0,1.0,0.9061727562076167,0.41242497996585825,1.1991996184629918,0.16213559610025097
1.0,0.05,3,1,200,5.0,1.0,0.9061994031646796,0.4065164098121745,1.1948220573037078,0.16885875650553175
0.8,0.03,3,5,400,5.0,0.8,0.9062280919886473,0.41234000853582137,1.2035507728088428,0.15703715687411388
1.0,0.03,3,1,400,1.0,1.0,0.9066274379010787,0.41039678467601703,1.1960653921419842,0.1639726810357466
0.8,0.03,3,5,200,1.0,1.0,0.9070010640119253,0.40488379255317897,1.2115967450978902,0.14991929718973
0.8,0.05,3,5,200,5.0,0.8,0.9070954111793585,0.4110262694589935,1.21472277922634,0.1428844326248914
1.0,0.03,3,1,200,5.0,0.8,0.9071009482835469,0.3995010771669359,1.2147842081052498,0.15126654122144287
0.8,0.03,4,5,400,1.0,0.8,0.9072709233091589,0.4118432074522194,1.2038572510072594,0.1544246430008495
0.8,0.03,2,1,400,1.0,1.0,0.9072914771448102,0.4252082146802629,1.2099764490171085,0.14190820586053873
1.0,0.03,2,5,400,5.0,1.0,0.9076024504293476,0.40949105539578784,1.212913994047249,0.1470357973829589
1.0,0.03,4,1,200,5.0,0.8,0.9076982440655692,0.39810402247401977,1.2153509341564266,0.14975795718193846
0.8,0.03,4,1,400,1.0,0.8,0.9078811225347352,0.40937927795124185,1.2087726068938711,0.1521692886396779
0.8,0.05,3,1,400,5.0,1.0,0.9079901295795776,0.39108424070555126,1.195294494948878,0.17785519654327453
0.8,0.03,2,5,400,1.0,0.8,0.9080918023669929,0.42533233019193367,1.2100548209250825,0.14236412843722912
0.8,0.03,4,1,400,5.0,0.8,0.9082111779639596,0.4021756529378004,1.2079500412644908,0.1568584492856844
1.0,0.03,2,5,400,1.0,0.8,0.9084282434614082,0.413968787359002,1.2070482015873245,0.15292252375975146
0.8,0.03,2,5,400,5.0,0.8,0.908462792425825,0.4133392634058859,1.2124142381718641,0.14473029924229375
1.0,0.05,3,1,400,1.0,1.0,0.9085501624199382,0.3818125865435304,1.2037003086863196,0.17342632704236183
0.8,0.05,4,1,400,1.0,0.8,0.9087241287817034,0.39328375595274884,1.2144196365730386,0.1564922686840547
1.0,0.05,2,5,200,1.0,1.0,0.9087328286129133,0.4228191208856445,1.2119790362703093,0.13896773145042923
0.8,0.05,2,5,400,1.0,0.8,0.9090326300001981,0.400459101084195,1.2094916929706323,0.16105956895300128
1.0,0.03,3,5,200,5.0,0.8,0.9090733324853998,0.3992620747354703,1.2139325952460032,0.1504056015227603
0.8,0.05,2,5,400,5.0,0.8,0.9092772375282488,0.40609946158469734,1.2061275934520206,0.15876120818067088
0.8,0.05,2,1,400,5.0,0.8,0.909302404261472,0.40443552732487426,1.2053856265025167,0.15809074687796157
0.8,0.03,2,5,400,5.0,1.0,0.9095175438387353,0.41375131752585137,1.2160257515657886,0.14193654969171315
0.8,0.03,2,1,400,5.0,0.8,0.9097001481265353,0.4120482541571393,1.2137777740489706,0.1438888961518811
1.0,0.05,4,5,200,5.0,1.0,0.9098557422453897,0.38745150783418797,1.2013390640668677,0.16772833646101037
1.0,0.03,4,5,200,1.0,0.8,0.9098871874390988,0.4162646615442304,1.2059417196494202,0.1498884714613814
1.0,0.03,2,1,400,5.0,1.0,0.9099087619154077,0.4089349620514672,1.2133003729275094,0.1450928812846636
0.8,0.05,3,1,200,5.0,0.8,0.9099624974476663,0.40837705870041313,1.2227005981019132,0.1379264629861899
1.0,0.05,2,1,200,1.0,1.0,0.910151245970475,0.4205197176354836,1.2124659168771963,0.13885860143816037
0.8,0.05,4,1,200,5.0,0.8,0.9102383695568955,0.396280661875694,1.2155929440789455,0.14950175570464505
0.8,0.05,4,1,400,5.0,1.0,0.9106095827044103,0.3896230867579562,1.2088496623812641,0.16610680124635432
0.8,0.05,2,1,400,1.0,0.8,0.9106245312356112,0.41081758620629116,1.2066611797638185,0.15721281721882693
1.0,0.03,4,5,200,5.0,1.0,0.9109775171154424,0.38428123204481573,1.2158858546851603,0.1553591037531577
1.0,0.03,2,1,400,1.0,0.8,0.9111706449483571,0.41298537361291726,1.2143354588999928,0.14613675401408505
1.0,0.05,3,1,200,1.0,1.0,0.911230672869766,0.4055766554181885,1.2050692410178228,0.1567732546292779
0.8,0.03,3,1,400,1.0,1.0,0.9113100366006818,0.41742026209248045,1.207971113011335,0.14953551079514601
0.8,0.03,4,5,400,5.0,0.8,0.9116278978607111,0.4067549828007829,1.2082242483173633,0.15397181751655023
1.0,0.03,2,5,400,5.0,0.8,0.9116562289940684,0.4074732455678432,1.2145758545528826,0.1467337373059609
1.0,0.05,2,1,200,1.0,0.8,0.9118320307397008,0.4250192465908132,1.2114835778366506,0.13865912261612912
1.0,0.03,2,1,400,5.0,0.8,0.9118772805364509,0.4062848144121837,1.2135821561342315,0.14912534810882513
0.8,0.05,2,5,200,1.0,1.0,0.9118892871496971,0.4239965856059312,1.2191982879352592,0.1320033159587483
0.8,0.05,4,5,400,5.0,1.0,0.9119722333289029,0.3801073317755249,1.2046332337925583,0.1732462900408263
0.8,0.05,2,1,200,1.0,1.0,0.9120782945658031,0.42780111929056935,1.218830038928209,0.13048141994316073
0.8,0.03,2,1,400,5.0,1.0,0.9121903535985111,0.41417869110223454,1.2195682568685906,0.13653871964885944
0.8,0.05,2,5,200,5.0,1.0,0.912373686757004,0.412641683693119,1.2226027226969713,0.13564993372451525
0.8,0.03,4,1,400,5.0,1.0,0.9124812687698163,0.3922854531582648,1.2118889478465387,0.1614305127707283
0.8,0.05,4,1,400,1.0,1.0,0.9125378767440194,0.38441108654902767,1.2125352202897912,0.16346021864135052
0.8,0.05,3,1,200,1.0,0.8,0.9125706002586766,0.411887899992719,1.224174245824003,0.13429604803569692
0.8,0.05,4,1,200,1.0,0.8,0.9126239385521203,0.40756108932149687,1.2193758880344665,0.1418076064894032
1.0,0.05,2,5,200,5.0,1.0,0.9126262442061777,0.4127641009467893,1.2214873968469695,0.13592247292134524
0.8,0.03,4,1,200,1.0,0.8,0.912660003879614,0.41636108011012096,1.2234728789159734,0.13251361840294495
1.0,0.05,2,5,200,1.0,0.8,0.9126880430338677,0.42758801702791344,1.2118694858779548,0.13723284880864123
1.0,0.05,4,1,400,5.0,1.0,0.912854000873733,0.39157796799410594,1.2043542984599942,0.16399243768536023
0.8,0.03,4,1,200,1.0,1.0,0.912928478027645,0.40824597871586243,1.2241543544641764,0.13615796889395013
1.0,0.03,4,1,400,5.0,1.0,0.9135936707153655,0.40640249746405166,1.2068086500533906,0.1558501230638635
1.0,0.03,4,5,200,5.0,0.8,0.9136123632339009,0.4028722934060869,1.215494192521152,0.14524403775850914
0.8,0.05,4,5,200,5.0,0.8,0.9138266413044511,0.39724808946250173,1.2152407040861348,0.14935108691320226
0.8,0.05,4,5,200,5.0,1.0,0.9138642390150773,0.4043070989149116,1.210722129754984,0.15410759784966327
1.0,0.05,2,1,200,5.0,1.0,0.9140885025158263,0.41322615046243216,1.2206675656176789,0.1360796713647628
1.0,0.03,4,1,200,5.0,1.0,0.9141446987369605,0.39272611004881797,1.2210633048502066,0.14600551558687494
0.8,0.03,3,1,400,5.0,1.0,0.9144563239290003,0.4006412304271267,1.2098204508307642,0.1559938542495915
0.8,0.05,2,1,200,5.0,1.0,0.9144575820052834,0.4187234616833827,1.2246377799805106,0.12986174551801263
0.8,0.03,3,5,200,1.0,0.8,0.9145185078654373,0.4161374934824473,1.2231250718327396,0.13113155114785174
0.8,0.05,4,1,200,5.0,1.0,0.9146121100166388,0.3982488329466801,1.2164050755700349,0.15230702365284318
1.0,0.03,3,5,200,5.0,1.0,0.9149114828988125,0.3902127994370906,1.2247659153916939,0.1430353261912797
0.8,0.03,4,5,400,5.0,1.0,0.9149930710332436,0.40724908304897967,1.2072504256731773,0.1540073007849929
0.8,0.03,4,5,200,1.0,0.8,0.9152236214436983,0.42272764956553677,1.2198528455193918,0.1295839617880022
1.0,0.05,4,1,200,5.0,1.0,0.9159690855678759,0.3929607162226208,1.2075093086526736,0.15996619681633265
0.8,0.03,4,1,200,5.0,1.0,0.9160157518428669,0.39461233133407936,1.224949441398519,0.14405130971978436
1.0,0.05,2,1,200,5.0,0.8,0.9160654300974127,0.4147678333597279,1.218683128768839,0.13702576166913988
0.8,0.05,3,1,200,5.0,1.0,0.9167468783102537,0.40346336341530087,1.2146794593593038,0.14835872818461088
0.8,0.03,3,5,200,5.0,1.0,0.9169042086810397,0.38713342179389626,1.2295939023911848,0.13850256847337142
0.8,0.05,2,5,200,1.0,0.8,0.9171416023739598,0.43531844753910237,1.224212262631208,0.119886943184555
0.8,0.05,2,5,200,5.0,0.8,0.9172440637412824,0.42790896895597536,1.2273835876201544,0.12257921243927947
0.8,0.05,2,1,200,5.0,0.8,0.9175275052639476,0.42535826916898634,1.2261611646405275,0.12463890548251336
1.0,0.05,2,5,200,5.0,0.8,0.9178086215571355,0.41514172903153485,1.2222659019979747,0.13382073599745897
0.8,0.03,3,1,200,5.0,0.8,0.9179694213365255,0.39708090256505724,1.2354174075023152,0.12908799372876573
0.8,0.03,4,5,200,5.0,1.0,0.9183622975935016,0.39807074523769653,1.2253176918863657,0.13877462383953335
1.0,0.03,3,1,200,1.0,1.0,0.918503744685859,0.4121815684496876,1.2225988929528961,0.13434312432437576
0.8,0.03,3,1,200,1.0,1.0,0.9185156674343243,0.4148848895512942,1.2263703407494657,0.1306049581356946
1.0,0.03,3,1,200,5.0,1.0,0.9186837044305969,0.39932153501560974,1.2252612782532795,0.14036983761595861
0.8,0.03,3,1,200,1.0,0.8,0.9188685329964287,0.40987730725456395,1.2346898275874227,0.12261281813753347
0.8,0.05,4,1,200,1.0,1.0,0.9205215294528426,0.39816610090043614,1.2183651861552933,0.14787734360544189
0.8,0.05,2,1,200,1.0,0.8,0.9205732367958939,0.4311348874324565,1.227076599145366,0.1199544881109808
0.8,0.03,4,1,200,5.0,0.8,0.9212368353626185,0.3975947284315173,1.2338173653145483,0.13125390304708
0.8,0.03,3,1,200,5.0,1.0,0.9219316706322788,0.3931215878854446,1.2326308259826555,0.1354336163936926
0.8,0.03,4,1,400,1.0,1.0,0.9219389918812534,0.4055215414593002,1.2213055119026013,0.14165417098541483
1.0,0.03,2,1,200,1.0,1.0,0.922826443868771,0.41618407230456167,1.2376679127399595,0.1144862008713437
1.0,0.03,2,5,200,1.0,1.0,0.9229255717469935,0.4153969050715322,1.2386202063638518,0.11441615223240229
0.8,0.03,2,5,200,1.0,1.0,0.9235648067583118,0.4244827366035451,1.2425231635553537,0.10581163559400464
0.8,0.03,3,5,200,5.0,0.8,0.923921197631903,0.4017034372427788,1.2393491254243372,0.12127460460441314
0.8,0.03,4,5,200,5.0,0.8,0.9256945278142628,0.4007225888499468,1.2368707450350194,0.12458489636818748
1.0,0.03,2,1,200,5.0,1.0,0.9261733904219511,0.40236661668892787,1.2489273184967389,0.11125031031354918
0.8,0.03,2,1,200,1.0,1.0,0.9269453014198104,0.421837967934984,1.2452575359975029,0.1029090700253357
0.8,0.03,2,5,200,1.0,0.8,0.9280123102455808,0.43335369891984865,1.2449817263328735,0.09737812831942677
1.0,0.03,2,5,200,1.0,0.8,0.9291675230703855,0.4313111300983728,1.2387485995587757,0.10311185483411
1.0,0.03,2,5,200,5.0,1.0,0.9296141528246696,0.40143353836322726,1.2539775839741427,0.10595758122499388
0.8,0.03,2,1,200,1.0,0.8,0.9302790664999109,0.42865173933372563,1.249972412394379,0.09431668629032752
1.0,0.03,2,5,200,5.0,0.8,0.9303849522691024,0.410277572721636,1.2507873727449152,0.10408398865592167
1.0,0.03,2,1,200,1.0,0.8,0.9306779900768347,0.42965908345885667,1.2413571901071925,0.10192681872367804
1.0,0.03,2,1,200,5.0,0.8,0.9306950973837,0.4113524569418265,1.250443604641776,0.10306884023536089
0.8,0.03,2,1,200,5.0,0.8,0.9311842125131373,0.41219087447385294,1.257556160090735,0.09603327536592782
0.8,0.03,2,5,200,5.0,0.8,0.9315692070074248,0.41184180098538714,1.258777406814227,0.09567905039807348
0.8,0.03,2,1,200,5.0,1.0,0.931877898437935,0.4062230126823533,1.2590771276553714,0.0993555935317117
0.8,0.03,2,5,200,5.0,1.0,0.9322319798302232,0.4077427352469044,1.2595406819881585,0.0978672575409747
